Time	[A]	[B]
2.64	3.24868	406.074
2.645	5.09551	405.294
2.65	7.99585	405.224
2.655	12.5415	406.269
2.66	19.6348	409.07
2.665	30.6147	414.65
2.67	47.3725	424.642
2.675	72.3394	441.661
2.68	108.041	469.867
2.685	155.598	515.742
2.69	211.35	588.736
2.695	262.02	700.269
2.7	284.034	857.333
2.705	258.139	1048.66
2.71	193.248	1237.75
2.715	121.963	1385.27
2.72	68.2664	1478.21
2.725	35.6373	1527.5
2.73	17.9737	1549.64
2.735	8.93965	1556.95
2.74	4.43267	1556.67
2.745	2.20317	1552.61
2.75	1.10063	1546.71
2.755	0.55337	1539.91
2.76	0.280185	1532.69
2.765	0.142908	1525.28
2.77	0.0734356	1517.79
2.775	0.0380202	1510.28
2.78	0.0198328	1502.78
2.785	0.0104233	1495.3
2.79	0.0055191	1487.86
2.795	0.00294415	1480.44
2.8	0.00158221	1473.06
2.805	0.000856577	1465.71
2.81	0.000467145	1458.4
2.815	0.000256627	1451.13
2.82	0.000142006	1443.89
2.825	7.91486e-05	1436.69
2.83	4.44325e-05	1429.53
2.835	2.51225e-05	1422.4
2.84	1.43058e-05	1415.3
2.845	8.20421e-06	1408.24
2.85	4.73826e-06	1401.22
2.855	2.75577e-06	1394.23
2.86	1.61397e-06	1387.28
2.865	9.5183e-07	1380.36
2.87	5.65225e-07	1373.47
2.875	3.3796e-07	1366.62
2.88	2.03459e-07	1359.81
2.885	1.23322e-07	1353.02
2.89	7.52566e-08	1346.28
2.895	4.6235e-08	1339.56
2.9	2.8596e-08	1332.88
2.905	1.78047e-08	1326.23
2.91	1.11595e-08	1319.62
2.915	7.04074e-09	1313.04
2.92	4.47141e-09	1306.49
2.925	2.85829e-09	1299.97
2.93	1.83905e-09	1293.49
2.935	1.19093e-09	1287.04
2.94	7.76205e-10	1280.62
2.945	5.09151e-10	1274.23
2.95	3.36112e-10	1267.88
2.955	2.23292e-10	1261.55
2.96	1.49281e-10	1255.26
2.965	1.00429e-10	1249
2.97	6.79872e-11	1242.77
2.975	4.6312e-11	1236.57
2.98	3.17427e-11	1230.4
2.985	2.18911e-11	1224.27
2.99	1.51897e-11	1218.16
2.995	1.06041e-11	1212.09
3	7.44798e-12	1206.04
3.005	5.26282e-12	1200.02
3.01	3.74115e-12	1194.04
3.015	2.6755e-12	1188.08
3.02	1.92469e-12	1182.16
3.025	1.39277e-12	1176.26
3.03	1.01382e-12	1170.4
3.035	7.42293e-13	1164.56
3.04	5.46685e-13	1158.75
3.045	4.04944e-13	1152.97
3.05	3.01619e-13	1147.22
3.055	2.25985e-13	1141.5
3.06	1.70309e-13	1135.81
3.065	1.29069e-13	1130.14
3.07	9.83353e-14	1124.5
3.075	7.53705e-14	1118.9
3.08	5.81142e-14	1113.32
3.085	4.5074e-14	1107.76
3.09	3.51429e-14	1102.24
3.095	2.75387e-14	1096.74
3.1	2.17074e-14	1091.27
3.105	1.72081e-14	1085.83
3.11	1.37266e-14	1080.41
3.115	1.1008e-14	1075.02
3.12	8.88337e-15	1069.66
3.125	7.19139e-15	1064.33
3.13	5.85428e-15	1059.02
3.135	4.78893e-15	1053.74
3.14	3.93925e-15	1048.48
3.145	3.25427e-15	1043.25
3.15	2.6915e-15	1038.05
3.155	2.22673e-15	1032.87
3.16	1.85706e-15	1027.72
3.165	1.55708e-15	1022.59
3.17	1.30856e-15	1017.49
3.175	1.11634e-15	1012.42
3.18	9.84771e-16	1007.37
3.185	8.83136e-16	1002.35
3.19	7.98196e-16	997.346
3.195	7.19654e-16	992.372
3.2	6.44169e-16	987.422
3.205	5.72855e-16	982.497
3.21	5.06996e-16	977.597
3.215	4.50083e-16	972.721
3.22	3.97638e-16	967.87
3.225	3.53067e-16	963.043
3.23	3.18459e-16	958.239
3.235	2.93609e-16	953.46
3.24	2.76102e-16	948.705
3.245	2.65006e-16	943.973
3.25	2.57997e-16	939.265
3.255	2.50772e-16	934.58
3.26	2.39072e-16	929.919
3.265	2.29844e-16	925.281
3.27	2.238e-16	920.666
3.275	2.19585e-16	916.074
3.28	2.1481e-16	911.506
3.285	2.05897e-16	906.959
3.29	1.94585e-16	902.436
3.295	1.84038e-16	897.935
3.3	1.74715e-16	893.456
3.305	1.67183e-16	889
3.31	1.62121e-16	884.566
3.315	1.59951e-16	880.155
3.32	1.59882e-16	875.765
3.325	1.61534e-16	871.397
3.33	1.6435e-16	867.051
3.335	1.6749e-16	862.726
3.34	1.69852e-16	858.424
3.345	1.72004e-16	854.142
3.35	1.74548e-16	849.882
3.355	1.77603e-16	845.643
3.36	1.81413e-16	841.426
3.365	1.86367e-16	837.229
3.37	1.92698e-16	833.053
3.375	2.00056e-16	828.898
3.38	2.08512e-16	824.764
3.385	2.18161e-16	820.651
3.39	2.29097e-16	816.558
3.395	2.41422e-16	812.485
3.4	2.55366e-16	808.433
3.405	2.71137e-16	804.401
3.41	2.88928e-16	800.389
3.415	3.08943e-16	796.397
3.42	3.31399e-16	792.425
3.425	3.56522e-16	788.473
3.43	3.84621e-16	784.54
3.435	4.16384e-16	780.627
3.44	4.52385e-16	776.734
3.445	4.93233e-16	772.86
3.45	5.39612e-16	769.005
3.455	5.92283e-16	765.17
3.46	6.52095e-16	761.353
3.465	7.20275e-16	757.556
3.47	7.98709e-16	753.778
3.475	8.89108e-16	750.018
3.48	9.93389e-16	746.278
3.485	1.11371e-15	742.556
3.49	1.25247e-15	738.852
3.495	1.41236e-15	735.167
3.5	1.59825e-15	731.5
3.505	1.81638e-15	727.852
3.51	2.07259e-15	724.222
3.515	2.37349e-15	720.61
3.52	2.72657e-15	717.016
3.525	3.14021e-15	713.439
3.53	3.62422e-15	709.881
3.535	4.20018e-15	706.341
3.54	4.89053e-15	702.818
3.545	5.71779e-15	699.312
3.55	6.70765e-15	695.825
3.555	7.88923e-15	692.354
3.56	9.29521e-15	688.901
3.565	1.10466e-14	685.465
3.57	1.30472e-14	682.046
3.575	1.55316e-14	678.645
3.58	1.85858e-14	675.26
