Values[alpha].InitialValue	Values[delta].InitialValue	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.00250364	0.15	3865.35
0.00251189	0.15	3865.34
0.00252016	0.15	3865.32
0.00252847	0.15	3865.3
0.0025368	0.15	3865.28
0.00254516	0.15	3865.26
0.00255354	0.15	3865.25
0.00256195	0.15	3865.23
0.0025704	0.15	3865.21
0.00257886	0.15	3865.19
0.00258736	0.15	3865.17
0.00259589	0.15	3865.16
0.00260444	0.15	3865.14
0.00261302	0.15	3865.12
0.00262163	0.15	3865.1
0.00263027	0.15	3865.08
0.00263893	0.15	3865.06
0.00264763	0.15	3865.04
0.00265635	0.15	3865.03
0.0026651	0.15	3865.01
0.00267389	0.15	3864.99
0.0026827	0.15	3864.97
0.00269153	0.15	3864.95
0.0027004	0.15	3864.93
0.0027093	0.15	3864.91
0.00271823	0.15	3864.89
0.00272718	0.15	3864.87
0.00273617	0.15	3864.85
0.00274518	0.15	3864.83
0.00275423	0.15	3864.82
0.0027633	0.15	3864.8
0.00277241	0.15	3864.78
0.00278154	0.15	3864.76
0.00279071	0.15	3864.74
0.0027999	0.15	3864.72
0.00280913	0.15	3864.7
0.00281838	0.15	3864.68
0.00282767	0.15	3864.66
0.00283699	0.15	3864.64
0.00284633	0.15	3864.62
0.00285571	0.15	3864.6
0.00286512	0.15	3864.58
0.00287456	0.15	3864.56
0.00288403	0.15	3864.54
0.00289353	0.15	3864.52
0.00290307	0.15	3864.5
0.00291263	0.15	3864.47
0.00292223	0.15	3864.45
0.00293186	0.15	3864.43
0.00294152	0.15	3864.41
0.00295121	0.15	3864.39
0.00296093	0.15	3864.37
0.00297069	0.15	3864.35
0.00298048	0.15	3864.33
0.0029903	0.15	3864.31
0.00300015	0.15	3864.29
0.00301003	0.15	3864.26
0.00301995	0.15	3864.24
0.0030299	0.15	3864.22
0.00303988	0.15	3864.2
0.0030499	0.15	3864.18
0.00305995	0.15	3864.16
0.00307003	0.15	3864.14
0.00308015	0.15	3864.11
0.0030903	0.15	3864.09
0.00310048	0.15	3864.07
0.00311069	0.15	3864.05
0.00312094	0.15	3864.03
0.00313123	0.15	3864
0.00314154	0.15	3863.98
0.00315189	0.15	3863.96
0.00316228	0.15	3863.94
0.0031727	0.15	3863.91
0.00318315	0.15	3863.89
0.00319364	0.15	3863.87
0.00320416	0.15	3863.85
0.00321472	0.15	3863.82
0.00322531	0.15	3863.8
0.00323594	0.15	3863.78
0.0032466	0.15	3863.75
0.0032573	0.15	3863.73
0.00326803	0.15	3863.71
0.0032788	0.15	3863.68
0.0032896	0.15	3863.66
0.00330044	0.15	3863.64
0.00331131	0.15	3863.61
0.00332222	0.15	3863.59
0.00333317	0.15	3863.57
0.00334415	0.15	3863.54
0.00335517	0.15	3863.52
0.00336622	0.15	3863.49
0.00337731	0.15	3863.47
0.00338844	0.15	3863.45
0.00339961	0.15	3863.42
0.00341081	0.15	3863.4
