Values[alpha].InitialValue	Values[delta].InitialValue	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.470822	0.15	4538.21
0.472374	0.15	4518.87
0.47393	0.15	4497.64
0.475492	0.15	4474.68
0.477058	0.15	4450.14
0.47863	0.15	4424.18
0.480207	0.15	4396.9
0.481789	0.15	4368.4
0.483377	0.15	4338.76
0.484969	0.15	4308.08
0.486567	0.15	4276.46
0.48817	0.15	4244.02
0.489779	0.15	4210.88
0.491393	0.15	4177.13
0.493012	0.15	4142.86
0.494636	0.15	4108.09
0.496266	0.15	4072.83
0.497901	0.15	4037.07
0.499541	0.15	4000.81
0.501187	0.15	3964.05
0.502839	0.15	3926.8
0.504495	0.15	3889.08
0.506158	0.15	3850.89
0.507825	0.15	3812.23
0.509498	0.15	3773.09
0.511177	0.15	3733.46
0.512861	0.15	3693.37
0.514551	0.15	3652.88
0.516247	0.15	3612.09
0.517947	0.15	3571.14
0.519654	0.15	3530.21
0.521366	0.15	3489.47
0.523084	0.15	3449.11
0.524807	0.15	3409.32
0.526537	0.15	3370.29
0.528271	0.15	3332.18
0.530012	0.15	3295.19
0.531758	0.15	3259.53
0.53351	0.15	3225.4
0.535268	0.15	3193.01
0.537032	0.15	3162.56
0.538801	0.15	3134.24
0.540576	0.15	3108.2
0.542358	0.15	3084.58
0.544145	0.15	3063.47
0.545937	0.15	3044.97
0.547736	0.15	3029.15
0.549541	0.15	3016.09
0.551352	0.15	3005.83
0.553168	0.15	2998.42
0.554991	0.15	2993.85
0.556819	0.15	2992.13
0.558654	0.15	2993.19
0.560495	0.15	2996.95
0.562341	0.15	3003.33
0.564194	0.15	3012.21
0.566053	0.15	3023.45
0.567918	0.15	3036.91
0.569789	0.15	3052.45
0.571667	0.15	3069.92
0.57355	0.15	3089.13
0.57544	0.15	3109.91
0.577336	0.15	3132.06
0.579238	0.15	3155.4
0.581147	0.15	3179.71
0.583061	0.15	3204.84
0.584982	0.15	3230.59
0.58691	0.15	3256.83
0.588844	0.15	3283.42
0.590784	0.15	3310.24
0.59273	0.15	3337.16
0.594683	0.15	3364.08
0.596643	0.15	3390.89
0.598608	0.15	3417.47
0.600581	0.15	3443.72
0.60256	0.15	3469.53
0.604545	0.15	3494.82
0.606537	0.15	3519.5
0.608535	0.15	3543.5
0.61054	0.15	3566.77
0.612552	0.15	3589.25
0.61457	0.15	3610.89
0.616595	0.15	3631.63
0.618627	0.15	3651.43
0.620665	0.15	3670.24
0.62271	0.15	3688.01
0.624762	0.15	3704.71
0.62682	0.15	3720.31
0.628885	0.15	3734.79
0.630957	0.15	3748.14
0.633036	0.15	3760.38
0.635122	0.15	3771.52
0.637215	0.15	3781.58
0.639314	0.15	3790.59
0.641421	0.15	3798.57
0.643534	0.15	3805.55
0.645654	0.15	3811.55
0.647782	0.15	3816.62
0.649916	0.15	3820.78
0.652057	0.15	3824.1
0.654206	0.15	3826.62
0.656361	0.15	3828.41
0.658524	0.15	3829.53
0.660693	0.15	3830.06
0.66287	0.15	3830.07
0.665054	0.15	3829.63
0.667246	0.15	3828.8
0.669444	0.15	3827.64
0.67165	0.15	3826.22
0.673863	0.15	3824.59
0.676083	0.15	3822.81
0.678311	0.15	3820.92
0.680545	0.15	3818.98
0.682788	0.15	3817.04
0.685037	0.15	3815.14
0.687294	0.15	3813.33
0.689559	0.15	3811.65
0.691831	0.15	3810.13
0.69411	0.15	3808.78
0.696397	0.15	3807.61
0.698692	0.15	3806.63
0.700994	0.15	3805.83
0.703304	0.15	3805.18
0.705621	0.15	3804.66
0.707946	0.15	3804.22
0.710278	0.15	3803.8
0.712619	0.15	3803.32
0.714967	0.15	3802.71
0.717322	0.15	3801.85
0.719686	0.15	3800.61
0.722057	0.15	3798.84
0.724436	0.15	3796.38
0.726823	0.15	3793.06
0.729218	0.15	3788.71
0.73162	0.15	3783.16
0.734031	0.15	3776.27
0.736449	0.15	3767.92
0.738876	0.15	3758.04
0.74131	0.15	3746.61
0.743753	0.15	3733.65
0.746203	0.15	3719.24
0.748662	0.15	3703.46
0.751129	0.15	3686.46
0.753603	0.15	3668.35
0.756086	0.15	3649.25
0.758578	0.15	3629.24
0.761077	0.15	3608.37
0.763585	0.15	3586.65
0.7661	0.15	3564.05
0.768625	0.15	3540.54
0.771157	0.15	3516.06
0.773698	0.15	3490.54
0.776247	0.15	3463.93
0.778805	0.15	3436.17
0.781371	0.15	3407.18
0.783945	0.15	3376.92
0.786528	0.15	3345.32
0.78912	0.15	3312.32
0.79172	0.15	3277.88
0.794328	0.15	3241.96
0.796945	0.15	3204.55
0.799571	0.15	3165.64
0.802206	0.15	3125.25
0.804849	0.15	3083.4
0.807501	0.15	3040.13
0.810161	0.15	2995.49
0.812831	0.15	2949.51
0.815509	0.15	2902.24
0.818196	0.15	2853.73
0.820891	0.15	2804.06
0.823596	0.15	2753.28
0.82631	0.15	2701.47
0.829032	0.15	2648.7
0.831764	0.15	2595.06
0.834504	0.15	2540.62
0.837254	0.15	2485.45
0.840012	0.15	2429.63
0.84278	0.15	2373.21
0.845557	0.15	2316.27
0.848343	0.15	2258.88
0.851138	0.15	2201.11
0.853942	0.15	2143.02
0.856756	0.15	2084.69
0.859579	0.15	2026.18
0.862411	0.15	1967.57
0.865252	0.15	1908.89
0.868103	0.15	1850.2
0.870964	0.15	1791.55
0.873833	0.15	1732.96
0.876712	0.15	1674.47
0.879601	0.15	1616.12
0.882499	0.15	1557.93
0.885407	0.15	1499.93
0.888324	0.15	1442.16
0.891251	0.15	1384.65
0.894187	0.15	1327.44
0.897134	0.15	1270.55
0.90009	0.15	1214.04
0.903055	0.15	1157.94
0.906031	0.15	1102.31
0.909016	0.15	1047.22
0.912011	0.15	992.733
0.915016	0.15	938.94
0.918031	0.15	885.929
0.921055	0.15	833.797
0.92409	0.15	782.647
0.927135	0.15	732.583
0.930189	0.15	683.71
0.933254	0.15	636.135
0.936329	0.15	589.965
0.939414	0.15	545.307
0.942509	0.15	502.267
0.945615	0.15	460.951
0.94873	0.15	421.464
0.951856	0.15	383.907
0.954993	0.15	348.378
0.958139	0.15	314.967
0.961296	0.15	283.76
0.964463	0.15	254.833
0.967641	0.15	228.254
0.970829	0.15	204.085
0.974028	0.15	182.378
0.977237	0.15	163.176
0.980457	0.15	146.516
0.983687	0.15	132.426
0.986929	0.15	120.928
0.99018	0.15	112.032
0.993443	0.15	105.743
0.996716	0.15	102.055
1	0.15	100.953
1.00329	0.15	102.416
1.0066	0.15	106.411
1.00992	0.15	112.899
1.01324	0.15	121.834
1.01658	0.15	133.165
1.01993	0.15	146.832
1.02329	0.15	162.774
1.02666	0.15	180.924
1.03005	0.15	201.21
1.03344	0.15	223.558
1.03685	0.15	247.892
1.04026	0.15	274.132
1.04369	0.15	302.198
1.04713	0.15	332.01
1.05058	0.15	363.487
1.05404	0.15	396.55
1.05751	0.15	431.122
1.061	0.15	467.126
1.06449	0.15	504.489
1.068	0.15	543.139
1.07152	0.15	583.004
1.07505	0.15	624.015
1.07859	0.15	666.099
1.08215	0.15	709.187
1.08571	0.15	753.206
1.08929	0.15	798.079
1.09288	0.15	843.732
1.09648	0.15	890.083
1.10009	0.15	937.05
1.10372	0.15	984.548
1.10735	0.15	1032.49
1.111	0.15	1080.78
1.11466	0.15	1129.32
1.11833	0.15	1178.03
1.12202	0.15	1226.8
1.12572	0.15	1275.53
1.12942	0.15	1324.13
1.13315	0.15	1372.51
1.13688	0.15	1420.57
1.14062	0.15	1468.25
1.14438	0.15	1515.45
1.14815	0.15	1562.14
1.15194	0.15	1608.24
1.15573	0.15	1653.73
1.15954	0.15	1698.58
1.16336	0.15	1742.75
1.16719	0.15	1786.25
1.17104	0.15	1829.06
1.1749	0.15	1871.16
1.17877	0.15	1912.56
1.18265	0.15	1953.24
1.18655	0.15	1993.19
1.19046	0.15	2032.37
1.19438	0.15	2070.77
1.19832	0.15	2108.36
1.20226	0.15	2145.09
1.20623	0.15	2180.93
1.2102	0.15	2215.84
1.21419	0.15	2249.78
1.21819	0.15	2282.72
1.2222	0.15	2314.62
1.22623	0.15	2345.44
1.23027	0.15	2375.16
1.23432	0.15	2403.74
1.23839	0.15	2431.15
1.24247	0.15	2457.39
1.24656	0.15	2482.43
1.25067	0.15	2506.25
1.25479	0.15	2528.86
1.25893	0.15	2550.24
1.26307	0.15	2570.39
1.26723	0.15	2589.32
1.27141	0.15	2607.04
1.2756	0.15	2623.55
1.2798	0.15	2638.87
1.28402	0.15	2653.02
1.28825	0.15	2666.01
1.29249	0.15	2677.87
1.29675	0.15	2688.6
1.30103	0.15	2698.25
1.30531	0.15	2706.82
1.30961	0.15	2714.35
1.31393	0.15	2720.86
1.31826	0.15	2726.38
1.3226	0.15	2730.94
1.32696	0.15	2734.56
1.33133	0.15	2737.28
1.33572	0.15	2739.11
1.34012	0.15	2740.09
1.34453	0.15	2740.24
1.34896	0.15	2739.6
1.35341	0.15	2738.19
1.35787	0.15	2736.03
1.36234	0.15	2733.15
1.36683	0.15	2729.58
1.37133	0.15	2725.34
1.37585	0.15	2720.45
1.38038	0.15	2714.94
1.38493	0.15	2708.83
1.3895	0.15	2702.13
1.39407	0.15	2694.87
1.39867	0.15	2687.06
1.40328	0.15	2678.72
1.4079	0.15	2669.87
1.41254	0.15	2660.53
1.41719	0.15	2650.71
1.42186	0.15	2640.42
1.42655	0.15	2629.69
1.43125	0.15	2618.54
1.43596	0.15	2606.98
1.44069	0.15	2595.03
1.44544	0.15	2582.72
1.4502	0.15	2570.06
1.45498	0.15	2557.08
1.45977	0.15	2543.81
1.46458	0.15	2530.27
1.46941	0.15	2516.49
1.47425	0.15	2502.5
1.47911	0.15	2488.34
1.48398	0.15	2474.03
1.48887	0.15	2459.62
1.49378	0.15	2445.14
1.4987	0.15	2430.64
1.50364	0.15	2416.14
1.50859	0.15	2401.7
1.51356	0.15	2387.35
1.51855	0.15	2373.13
1.52355	0.15	2359.09
1.52857	0.15	2345.27
1.53361	0.15	2331.71
1.53866	0.15	2318.46
1.54373	0.15	2305.55
1.54882	0.15	2293.02
1.55392	0.15	2280.93
1.55904	0.15	2269.29
1.56418	0.15	2258.16
1.56933	0.15	2247.57
1.5745	0.15	2237.56
1.57969	0.15	2228.15
1.58489	0.15	2219.38
1.59012	0.15	2211.28
1.59535	0.15	2203.87
1.60061	0.15	2197.19
1.60588	0.15	2191.24
1.61118	0.15	2186.06
1.61648	0.15	2181.67
1.62181	0.15	2178.07
1.62715	0.15	2175.27
1.63251	0.15	2173.3
1.63789	0.15	2172.16
1.64329	0.15	2171.85
1.6487	0.15	2172.37
1.65414	0.15	2173.73
1.65959	0.15	2175.92
1.66505	0.15	2178.94
1.67054	0.15	2182.78
1.67605	0.15	2187.43
1.68157	0.15	2192.88
1.68711	0.15	2199.13
1.69267	0.15	2206.15
1.69824	0.15	2213.93
1.70384	0.15	2222.46
1.70945	0.15	2231.72
1.71509	0.15	2241.69
1.72074	0.15	2252.36
1.72641	0.15	2263.7
1.73209	0.15	2275.71
1.7378	0.15	2288.35
1.74353	0.15	2301.61
1.74927	0.15	2315.48
1.75503	0.15	2329.92
1.76082	0.15	2344.93
1.76662	0.15	2360.48
1.77244	0.15	2376.55
1.77828	0.15	2393.12
1.78414	0.15	2410.17
1.79002	0.15	2427.66
1.79591	0.15	2445.59
1.80183	0.15	2463.92
1.80777	0.15	2482.64
1.81372	0.15	2501.71
1.8197	0.15	2521.11
1.8257	0.15	2540.82
1.83171	0.15	2560.81
1.83775	0.15	2581.06
1.8438	0.15	2601.54
1.84988	0.15	2622.23
1.85597	0.15	2643.11
1.86209	0.15	2664.15
1.86822	0.15	2685.32
1.87438	0.15	2706.62
1.88055	0.15	2728.02
1.88675	0.15	2749.49
1.89297	0.15	2771.03
1.8992	0.15	2792.61
1.90546	0.15	2814.22
1.91174	0.15	2835.85
1.91804	0.15	2857.47
1.92436	0.15	2879.08
1.9307	0.15	2900.67
1.93706	0.15	2922.22
1.94344	0.15	2943.73
1.94984	0.15	2965.19
1.95627	0.15	2986.59
1.96271	0.15	3007.92
1.96918	0.15	3029.18
1.97567	0.15	3050.36
1.98218	0.15	3071.47
1.98871	0.15	3092.49
1.99526	0.15	3113.44
2.00184	0.15	3134.29
2.00843	0.15	3155.07
2.01505	0.15	3175.75
2.02169	0.15	3196.35
2.02835	0.15	3216.87
2.03503	0.15	3237.31
2.04174	0.15	3257.66
2.04847	0.15	3277.94
2.05521	0.15	3298.14
2.06199	0.15	3318.27
2.06878	0.15	3338.34
2.0756	0.15	3358.34
2.08243	0.15	3378.28
2.0893	0.15	3398.17
2.09618	0.15	3418.01
2.10309	0.15	3437.81
2.11002	0.15	3457.57
2.11697	0.15	3477.3
2.12394	0.15	3497
2.13094	0.15	3516.68
2.13796	0.15	3536.35
2.14501	0.15	3556.01
2.15207	0.15	3575.67
2.15916	0.15	3595.33
2.16628	0.15	3615.01
2.17342	0.15	3634.71
2.18058	0.15	3654.44
2.18776	0.15	3674.2
2.19497	0.15	3694
2.2022	0.15	3713.86
2.20946	0.15	3733.77
2.21674	0.15	3753.75
2.22404	0.15	3773.8
2.23137	0.15	3793.93
2.23872	0.15	3814.15
2.2461	0.15	3834.47
2.2535	0.15	3854.89
2.26092	0.15	3875.42
2.26837	0.15	3896.07
2.27585	0.15	3916.85
2.28334	0.15	3937.76
2.29087	0.15	3958.82
2.29842	0.15	3980.02
2.30599	0.15	4001.39
2.31359	0.15	4022.92
2.32121	0.15	4044.62
2.32886	0.15	4066.51
2.33653	0.15	4088.59
2.34423	0.15	4110.88
2.35195	0.15	4133.37
2.3597	0.15	4156.08
2.36748	0.15	4179.03
2.37528	0.15	4202.21
2.3831	0.15	4225.65
2.39096	0.15	4249.35
2.39883	0.15	4273.33
2.40674	0.15	4297.6
2.41467	0.15	4322.18
2.42262	0.15	4347.09
2.4306	0.15	4372.34
2.43861	0.15	4397.95
2.44665	0.15	4423.94
2.45471	0.15	4450.34
2.4628	0.15	4477.18
2.47091	0.15	4504.46
2.47905	0.15	4532.24
2.48722	0.15	4560.53
2.49542	0.15	4589.36
2.50364	0.15	4618.77
2.51189	0.15	4648.79
2.52016	0.15	4679.46
2.52847	0.15	4710.81
2.5368	0.15	4742.87
2.54516	0.15	4775.69
2.55354	0.15	4809.3
2.56195	0.15	4843.74
2.5704	0.15	4879.06
2.57886	0.15	4915.29
2.58736	0.15	4952.48
2.59589	0.15	4990.67
2.60444	0.15	5029.9
2.61302	0.15	5070.22
2.62163	0.15	5111.67
2.63027	0.15	5154.31
2.63893	0.15	5198.16
2.64763	0.15	5243.29
2.65635	0.15	5289.74
2.6651	0.15	5337.55
2.67389	0.15	5386.77
2.6827	0.15	5437.44
2.69153	0.15	5489.61
2.7004	0.15	5543.32
2.7093	0.15	5598.61
2.71823	0.15	5655.52
2.72718	0.15	5714.09
2.73617	0.15	5774.35
2.74518	0.15	5836.32
2.75423	0.15	5900.04
2.7633	0.15	5965.51
2.77241	0.15	6032.76
2.78154	0.15	6101.78
2.79071	0.15	6172.57
2.7999	0.15	6245.12
2.80913	0.15	6319.41
2.81838	0.15	6395.41
2.82767	0.15	6473.09
2.83699	0.15	6552.41
2.84633	0.15	6633.34
2.85571	0.15	6715.81
2.86512	0.15	6799.8
2.87456	0.15	6885.24
2.88403	0.15	6972.11
2.89353	0.15	7060.35
2.90307	0.15	7149.92
2.91263	0.15	7240.78
2.92223	0.15	7332.9
2.93186	0.15	7426.22
2.94152	0.15	7520.71
2.95121	0.15	7616.32
2.96093	0.15	7713.01
2.97069	0.15	7810.72
2.98048	0.15	7909.4
2.9903	0.15	8008.99
3.00015	0.15	8109.43
3.01003	0.15	8210.67
3.01995	0.15	8312.64
3.0299	0.15	8415.29
3.03988	0.15	8518.57
3.0499	0.15	8622.43
3.05995	0.15	8726.82
3.07003	0.15	8831.72
3.08015	0.15	8937.1
3.0903	0.15	9042.93
3.10048	0.15	9149.18
3.11069	0.15	9255.85
3.12094	0.15	9362.9
3.13123	0.15	9470.32
3.14154	0.15	9578.09
3.15189	0.15	9686.17
3.16228	0.15	9794.53
3.1727	0.15	9903.15
3.18315	0.15	10012
3.19364	0.15	10121
3.20416	0.15	10230.2
3.21472	0.15	10339.6
3.22531	0.15	10449
3.23594	0.15	10558.6
3.2466	0.15	10668.4
3.2573	0.15	10778.2
3.26803	0.15	10888.3
3.2788	0.15	10998.5
3.2896	0.15	11108.9
3.30044	0.15	11219.6
3.31131	0.15	11330.5
3.32222	0.15	11441.7
3.33317	0.15	11553.2
3.34415	0.15	11664.9
3.35517	0.15	11776.8
3.36622	0.15	11888.9
3.37731	0.15	12001.2
3.38844	0.15	12113.6
3.39961	0.15	12226
3.41081	0.15	12338.5
3.42204	0.15	12451
3.43332	0.15	12563.5
3.44463	0.15	12676
3.45598	0.15	12788.6
3.46737	0.15	12901.3
3.47879	0.15	13014.3
3.49025	0.15	13127.7
3.50175	0.15	13241.5
3.51329	0.15	13356
3.52487	0.15	13471.2
3.53648	0.15	13587.4
3.54813	0.15	13704.6
3.55982	0.15	13822.9
3.57155	0.15	13942.5
3.58332	0.15	14063.2
3.59513	0.15	14185.2
3.60697	0.15	14308.3
3.61886	0.15	14432.3
3.63078	0.15	14557.3
3.64274	0.15	14682.9
3.65475	0.15	14809
3.66679	0.15	14935.3
3.67887	0.15	15061.8
3.69099	0.15	15188.1
3.70315	0.15	15314.1
3.71535	0.15	15439.6
3.72759	0.15	15564.7
3.73988	0.15	15689.3
3.7522	0.15	15813.3
3.76456	0.15	15936.9
3.77696	0.15	16060.3
3.78941	0.15	16183.5
3.80189	0.15	16306.7
3.81442	0.15	16430.4
3.82699	0.15	16554.6
3.8396	0.15	16679.8
3.85225	0.15	16806.1
3.86494	0.15	16933.8
3.87768	0.15	17063.2
3.89045	0.15	17194.4
3.90327	0.15	17327.6
3.91613	0.15	17462.8
3.92903	0.15	17600
3.94198	0.15	17739.4
3.95497	0.15	17880.7
3.968	0.15	18023.8
3.98107	0.15	18168.7
3.99419	0.15	18315.2
4.00735	0.15	18463
4.02055	0.15	18612
4.0338	0.15	18761.9
4.04709	0.15	18912.8
4.06042	0.15	19064.3
4.0738	0.15	19216.4
4.08723	0.15	19369.1
4.10069	0.15	19522.4
4.1142	0.15	19676.1
4.12776	0.15	19830.5
4.14136	0.15	19985.7
4.155	0.15	20141.8
4.16869	0.15	20299
4.18243	0.15	20457.5
4.19621	0.15	20617.6
4.21004	0.15	20779.6
4.22391	0.15	20943.7
4.23782	0.15	21110.1
4.25179	0.15	21279.2
4.2658	0.15	21451.1
4.27985	0.15	21626
4.29395	0.15	21804.1
4.3081	0.15	21985.5
4.32229	0.15	22170.3
4.33654	0.15	22358.5
4.35082	0.15	22550.1
4.36516	0.15	22745
4.37954	0.15	22943.3
4.39397	0.15	23144.9
4.40845	0.15	23349.6
4.42297	0.15	23557.4
4.43755	0.15	23768.2
4.45217	0.15	23982
4.46684	0.15	24198.6
4.48155	0.15	24418.2
4.49632	0.15	24640.6
4.51113	0.15	24866
4.526	0.15	25094.3
4.54091	0.15	25325.6
4.55587	0.15	25560
4.57088	0.15	25797.5
4.58594	0.15	26038.2
4.60105	0.15	26282.1
4.61621	0.15	26529.3
4.63142	0.15	26779.7
4.64668	0.15	27033.3
4.66199	0.15	27290.1
4.67735	0.15	27549.9
4.69276	0.15	27812.6
4.70822	0.15	28078.2
4.72374	0.15	28346.4
4.7393	0.15	28617.1
4.75492	0.15	28890.2
4.77058	0.15	29165.6
4.7863	0.15	29443.1
4.80207	0.15	29722.5
4.81789	0.15	30003.9
4.83377	0.15	30287.1
4.84969	0.15	30572
4.86567	0.15	30858.6
4.8817	0.15	31146.9
4.89779	0.15	31436.8
4.91393	0.15	31728.4
4.93012	0.15	32021.5
4.94636	0.15	32316.2
4.96266	0.15	32612.5
4.97901	0.15	32910.5
4.99541	0.15	33210.1
5.01187	0.15	33511.4
5.02839	0.15	33814.5
5.04495	0.15	34119.3
5.06158	0.15	34426
5.07825	0.15	34734.6
5.09498	0.15	35045.3
5.11177	0.15	35358.2
5.12861	0.15	35673.2
5.14551	0.15	35990.7
5.16247	0.15	36310.7
5.17947	0.15	36633.3
5.19654	0.15	36958.8
5.21366	0.15	37287.2
5.23084	0.15	37618.7
5.24807	0.15	37953.5
5.26537	0.15	38291.6
5.28271	0.15	38633.2
5.30012	0.15	38978.4
5.31758	0.15	39327.4
5.3351	0.15	39680.2
5.35268	0.15	40036.8
5.37032	0.15	40397.4
5.38801	0.15	40761.9
5.40576	0.15	41130.4
5.42358	0.15	41502.9
5.44145	0.15	41879.4
5.45937	0.15	42259.9
5.47736	0.15	42644.2
5.49541	0.15	43032.5
5.51352	0.15	43424.5
5.53168	0.15	43820.3
5.54991	0.15	44219.9
5.56819	0.15	44623
5.58654	0.15	45029.7
5.60495	0.15	45439.8
5.62341	0.15	45853.4
5.64194	0.15	46270.4
5.66053	0.15	46690.6
5.67918	0.15	47114.1
5.69789	0.15	47540.8
5.71667	0.15	47970.7
5.7355	0.15	48403.7
5.7544	0.15	48839.8
5.77336	0.15	49279.1
5.79238	0.15	49721.4
5.81147	0.15	50166.9
5.83061	0.15	50615.4
5.84982	0.15	51067.1
5.8691	0.15	51522
5.88844	0.15	51980
5.90784	0.15	52441.2
5.9273	0.15	52905.7
5.94683	0.15	53373.5
5.96643	0.15	53844.7
5.98608	0.15	54319.2
6.00581	0.15	54797.2
6.0256	0.15	55278.8
6.04545	0.15	55763.9
6.06537	0.15	56252.6
6.08535	0.15	56745.1
6.1054	0.15	57241.3
6.12552	0.15	57741.4
6.1457	0.15	58245.4
6.16595	0.15	58753.3
6.18627	0.15	59265.4
6.20665	0.15	59781.5
6.2271	0.15	60301.9
6.24762	0.15	60826.5
6.2682	0.15	61355.5
6.28885	0.15	61888.8
6.30957	0.15	62426.7
6.33036	0.15	62969.1
6.35122	0.15	63516.1
6.37215	0.15	64067.8
6.39314	0.15	64624.2
6.41421	0.15	65185.4
6.43534	0.15	65751.5
6.45654	0.15	66322.5
6.47782	0.15	66898.3
6.49916	0.15	67479.2
6.52057	0.15	68065.1
6.54206	0.15	68656
6.56361	0.15	69251.9
6.58524	0.15	69852.8
6.60693	0.15	70458.8
6.6287	0.15	71069.9
6.65054	0.15	71685.8
6.67246	0.15	72306.8
6.69444	0.15	72932.6
6.7165	0.15	73563.2
6.73863	0.15	74198.4
6.76083	0.15	74838.3
6.78311	0.15	75482.7
6.80545	0.15	76131.4
6.82788	0.15	76784.3
6.85037	0.15	77441.1
6.87294	0.15	78101.9
6.89559	0.15	78766.3
6.91831	0.15	79434.1
6.9411	0.15	80105.3
6.96397	0.15	80779.5
6.98692	0.15	81456.8
7.00994	0.15	82136.8
7.03304	0.15	82819.6
7.05621	0.15	83505.1
7.07946	0.15	84193.2
7.10278	0.15	84884
7.12619	0.15	85577.6
7.14967	0.15	86274.3
7.17322	0.15	86974.2
7.19686	0.15	87677.9
7.22057	0.15	88385.7
7.24436	0.15	89098.2
7.26823	0.15	89816.1
7.29218	0.15	90540.1
7.3162	0.15	91271
7.34031	0.15	92009.4
7.36449	0.15	92756.3
7.38876	0.15	93512.4
7.4131	0.15	94278.4
7.43753	0.15	95055
7.46203	0.15	95842.5
7.48662	0.15	96641.3
7.51129	0.15	97451.7
7.53603	0.15	98273.7
7.56086	0.15	99107.2
7.58578	0.15	99952.1
7.61077	0.15	100808
7.63585	0.15	101675
7.661	0.15	102552
7.68625	0.15	103440
7.71157	0.15	104339
7.73698	0.15	105248
7.76247	0.15	106167
7.78805	0.15	107096
7.81371	0.15	108037
7.83945	0.15	108988
7.86528	0.15	109950
7.8912	0.15	110923
7.9172	0.15	111906
7.94328	0.15	112899
7.96945	0.15	113900
7.99571	0.15	114910
8.02206	0.15	115925
8.04849	0.15	116945
8.07501	0.15	117968
8.10161	0.15	118991
8.12831	0.15	120015
8.15509	0.15	121037
8.18196	0.15	122056
8.20891	0.15	123073
8.23596	0.15	124088
8.2631	0.15	125103
8.29032	0.15	126119
8.31764	0.15	127139
8.34504	0.15	128166
8.37254	0.15	129202
8.40012	0.15	130249
8.4278	0.15	131307
8.45557	0.15	132374
8.48343	0.15	133447
8.51138	0.15	134519
8.53942	0.15	135581
8.56756	0.15	136625
8.59579	0.15	137641
8.62411	0.15	138620
8.65252	0.15	139557
8.68103	0.15	140452
8.70964	0.15	141310
8.73833	0.15	142142
8.76712	0.15	142966
8.79601	0.15	143801
8.82499	0.15	144667
8.85407	0.15	145579
8.88324	0.15	146548
8.91251	0.15	147573
8.94187	0.15	148648
8.97134	0.15	149759
9.0009	0.15	150893
9.03055	0.15	152036
9.06031	0.15	153179
9.09016	0.15	154321
9.12011	0.15	155461
9.15016	0.15	156607
9.18031	0.15	157764
9.21055	0.15	158940
9.2409	0.15	160140
9.27135	0.15	161367
9.30189	0.15	162621
9.33254	0.15	163899
9.36329	0.15	165193
9.39414	0.15	166494
9.42509	0.15	167792
9.45615	0.15	169075
9.4873	0.15	170330
9.51856	0.15	171550
9.54993	0.15	172728
9.58139	0.15	173859
9.61296	0.15	174944
9.64463	0.15	175986
9.67641	0.15	176988
9.70829	0.15	177957
9.74028	0.15	178905
9.77237	0.15	179850
9.80457	0.15	180818
9.83687	0.15	181843
9.86929	0.15	182963
9.9018	0.15	184212
9.93443	0.15	185608
9.96716	0.15	187153
10	0.15	188827
10.0329	0.15	190602
10.066	0.15	192452
10.0992	0.15	194361
10.1324	0.15	196328
10.1658	0.15	198368
10.1993	0.15	200501
10.2329	0.15	202756
10.2666	0.15	205157
10.3005	0.15	207723
10.3344	0.15	210469
10.3685	0.15	213403
10.4026	0.15	216526
10.4369	0.15	219837
10.4713	0.15	223330
10.5058	0.15	226994
10.5404	0.15	230821
10.5751	0.15	234796
10.61	0.15	238906
10.6449	0.15	243134
10.68	0.15	247463
10.7152	0.15	251872
10.7505	0.15	256335
10.7859	0.15	260820
10.8215	0.15	265291
10.8571	0.15	269698
10.8929	0.15	273982
10.9288	0.15	278066
10.9648	0.15	281859
11.0009	0.15	285248
11.0372	0.15	288112
11.0735	0.15	290327
11.11	0.15	291791
11.1466	0.15	292460
11.1833	0.15	292388
11.2202	0.15	291745
11.2572	0.15	290800
11.2942	0.15	289839
11.3315	0.15	289073
11.3688	0.15	288581
11.4062	0.15	288330
11.4438	0.15	288242
11.4815	0.15	288250
11.5194	0.15	288326
11.5573	0.15	288483
11.5954	0.15	288753
11.6336	0.15	289180
11.6719	0.15	289804
11.7104	0.15	290660
11.749	0.15	291776
11.7877	0.15	293172
11.8265	0.15	294859
11.8655	0.15	296842
11.9046	0.15	299115
11.9438	0.15	301672
11.9832	0.15	304502
12.0226	0.15	307596
12.0623	0.15	310947
12.102	0.15	314548
12.1419	0.15	318392
12.1819	0.15	322470
12.222	0.15	326760
12.2623	0.15	331229
12.3027	0.15	335822
12.3432	0.15	340449
12.3839	0.15	344986
12.4247	0.15	349263
12.4656	0.15	353082
12.5067	0.15	356263
12.5479	0.15	358742
12.5893	0.15	360700
12.6307	0.15	362585
12.6723	0.15	364903
12.7141	0.15	367816
12.756	0.15	370974
12.798	0.15	373776
12.8402	0.15	375788
12.8825	0.15	376916
12.9249	0.15	377366
12.9675	0.15	377561
13.0103	0.15	378048
13.0531	0.15	379330
13.0961	0.15	381645
13.1393	0.15	384856
13.1826	0.15	388579
13.226	0.15	392423
13.2696	0.15	396157
13.3133	0.15	399707
13.3572	0.15	403082
13.4012	0.15	406311
13.4453	0.15	409428
13.4896	0.15	412506
13.5341	0.15	415697
13.5787	0.15	419240
13.6234	0.15	423410
13.6683	0.15	428385
13.7133	0.15	434130
13.7585	0.15	440353
13.8038	0.15	446581
13.8493	0.15	452271
13.895	0.15	456887
13.9407	0.15	459979
13.9867	0.15	461391
